_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
2782056,1958,563,14,2,0.875,0.9166666666666666,0.95,14,14,0.6363636363636364,0.7777777777777779,0.7777777777777778,0.7777777777777778,0.9308641975308642,0,1,1,1,14,14,1,1,1,1,1,6,0,1,1,1,6,1,1,1,1,1,0,1,0,1,0,1,1
1450562,1020,188,35.5,12,0.7777777777777778,0.9259259259259259,0.9555555555555556,30,42,0.7636363636363637,0.8697311348907114,0.9545454545454546,0.865979381443299,0.9380952380952383,0,1,1,1,69,69,1,1,1,1,1,8,21,0.41666666666666663,0.6844729344729344,0.8106837606837607,5,0.2222222222222222,0.3678836036909795,0.42857142857142855,0.36363636363636365,0.7571428571428575,0,1,0,1,0,1,1
4862023,3502,2738,11.5,14,0.5757575757575757,0.8585858585858586,0.9151515151515152,5,19,0.5135135135135135,0.7008255578851517,0.9047619047619048,0.6785714285714286,0.980952380952381,23,0.25806451612903225,0.5060334528076463,0.5554301075268817,-3,4,0.018867924528301886,0.03768891807222045,0.045454545454545456,0.037037037037037035,0.6656565656565657,-6.5,37,0.19565217391304346,0.4903381642512077,0.4903381642512077,-16,0.014705882352941176,0.030743773095067282,0.043478260869565216,0.028985507246376812,0.6615740740740745,0.0005028916268544129,0.9994972347913524,1.3846153846153846,0.18181818181818177,0.35294117647058826,0.7,0
3595505,2551,3496,78.5,7,0.9195402298850575,0.9613252197430696,0.9767951318458418,78,78,0.7894736842105263,0.8824140100031469,0.8928571428571429,0.8823529411764706,0.9635455680399498,0,1,1,1,16,16,1,1,1,1,1,8,0,1,1,1,8,1,1,1,1,1,0.001991040318566451,0.9980109398309299,0.09523809523809523,0.9090909090909091,1.3846153846153846,0.18181818181818177,0
1039392,732,862,34,0,1,1,1,34,34,1,1,1,1,1,20,0.375,0.7916666666666666,0.875,-8,12,0.3333333333333333,0.5500190982169267,0.8571428571428571,0.5,0.7117647058823534,1,3,0.25,0.5,0.55,1,0.09090909090909091,0.16666666666666669,0.16666666666666666,0.16666666666666666,0.7185185185185183,0,1,0,1,2,0,1
1340545,944,1405,14.5,27,0.4375,0.7766534391534391,0.7766534391534391,9,21,0.5,0.6720601732560163,0.7631578947368421,0.6666666666666666,0.8813333333333336,20,0.13043478260869568,0.3458498023715415,0.3458498023715415,-9,2,0,0,0,0,0.6136752136752135,-0.5,17,0.19047619047619047,0.44246031746031744,0.44246031746031744,-1,0,0,0,0,0.5999999999999998,0.0029806259314456036,0.9970238095238095,1,0.33333333333333337,0.6519337016574586,0.5083333333333333,0
4188406,2975,1748,15,19,0.5681818181818181,0.8560606060606061,0.9136363636363637,6,25,0.5208333333333334,0.7093804422989571,0.9259259259259259,0.684931506849315,0.8212560386473436,26,0.4222222222222223,0.841774332472007,0.9050645994832042,14,24,0.7142857142857143,0.8336550215650926,0.8571428571428571,0.8333333333333334,0.9797530864197531,1,29,0.3695652173913043,0.7898550724637681,0.8739130434782608,-12,0.3,0.5073825686188037,0.7894736842105263,0.46153846153846156,0.7907407407407415,0,1,0,1,0,1,1
4085574,2899,3710,45,2,0.9574468085106383,0.8345941686367219,0.9007565011820331,45,45,0.7735849056603774,0.8723404255319149,0.8723404255319149,0.8723404255319149,0.9759637188208616,0,1,1,1,18,18,1,1,1,1,1,-2,16,0.23809523809523814,0.6063492063492063,0.6457142857142857,-6,0.029411764705882353,0.06019292654288461,0.08333333333333333,0.05714285714285714,0.7166666666666665,0,1,1.2,0.25,0.006514657980456026,0.9935064935064936,1
4512892,3232,2552,45,0,1,1,1,45,45,1,1,1,1,1,8,0.6,0.7833333333333333,0.7833333333333333,4,12,0.5,0.6837634587578276,0.8571428571428571,0.6666666666666666,0.6979797979797979,6,0,1,1,1,6,1,1,1,1,1,0,1,0.13333333333333333,0.875,0.22784810126582278,0.7954545454545454,1
4556597,3268,2196,21.5,10,0.7297297297297297,0.755588922255589,0.755588922255589,17,27,0.6585365853658537,0.802846395157571,0.9310344827586207,0.7941176470588235,0.9869731800766283,15,0.16666666666666663,0.41574074074074074,0.41574074074074074,-5,3,0,0,0,0,0.7092592592592591,-5,29,0.17142857142857137,0.3849206349206349,0.3849206349206349,-14,0.018867924528301886,0.039872611141445004,0.058823529411764705,0.037037037037037035,0.616816816816817,0.006524466750313676,0.9934967483741871,0.10526315789473684,0.9,0.379746835443038,0.6808510638297872,0
