_id,ltable_id,rtable_id,title_affine_score,title_lev_dist_score,title_lev_sim_score,title_jaro_score,title_jaro_winkler_score,title_needleman_wunsch_score,title_smith_waterman_score,title_jaccard_score,title_cosine_score,title_overlap_coeff_score,title_dice_score,title_monge_elkan_score,author_lev_dist_score,author_lev_sim_score,author_jaro_score,author_jaro_winkler_score,author_needleman_wunsch_score,author_smith_waterman_score,author_jaccard_score,author_cosine_score,author_overlap_coeff_score,author_dice_score,author_monge_elkan_score,publisher_affine_score,publisher_lev_dist_score,publisher_lev_sim_score,publisher_jaro_score,publisher_jaro_winkler_score,publisher_needleman_wunsch_score,publisher_jaccard_score,publisher_cosine_score,publisher_overlap_coeff_score,publisher_dice_score,publisher_monge_elkan_score,year_rel_diff,year_abs_norm,month_rel_diff,month_abs_norm,pages_rel_diff,pages_abs_norm,gold
558883,401,1586,4.5,2,0.75,0.9166666666666666,0.95,4,5,0.5,0.6708203932499369,0.75,0.6666666666666666,0.95,1,0.9285714285714286,0.9761904761904763,0.9857142857142858,12,13,0.7222222222222222,0.8391463916782737,0.8666666666666667,0.8387096774193549,0.9748148148148149,0.5,15,0.34782608695652173,0.6859903381642511,0.7801932367149758,-6,0.2,0.36181361349331637,0.5454545454545454,0.3333333333333333,0.6773333333333332,0.0024968789013732834,0.9975062344139651,1.6,0.11111111111111116,0,1,0
564922,405,532,43.5,35,0.6067415730337078,0.8126914459604065,0.887614867576244,32,54,0.5247524752475248,0.692056992956813,0.7681159420289855,0.6883116883116883,0.950925925925926,14,0.5882352941176471,0.7670733478576617,0.7670733478576617,13,18,0.5405405405405406,0.7018624063435964,0.7142857142857143,0.7017543859649122,0.9444444444444444,6,20,0.4285714285714286,0.774255082149819,0.8645530492898914,-1,0.26666666666666666,0.4364357804719847,0.5714285714285714,0.42105263157894735,0.7561561561561567,0.00199203187250996,0.9980099502487563,1.6666666666666667,0.09090909090909094,0.5923016496465043,0.543030303030303,0
599859,429,495,31,13,0.7450980392156863,0.7615239078087376,0.7615239078087376,25,38,0.8181818181818182,0.901127113779166,0.9473684210526315,0.9,0.99,3,0.75,0.9166666666666666,0.95,6,6,0.6666666666666666,0.8058229640253802,0.9090909090909091,0.8,0.9838383838383838,-5.5,23,0.14814814814814814,0.37991021324354657,0.37991021324354657,-12,0,0,0,0,0.45747126436781593,0,1,1,0.33333333333333337,0.01309090909090909,0.9869942196531792,0
608100,434,800,53.5,12,0.8333333333333334,0.9444444444444445,0.9666666666666667,48,60,0.7837837837837838,0.8824418982027676,0.9666666666666667,0.8787878787878788,0.9402402402402398,0,1,1,1,30,30,1,1,1,1,1,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0,1,0.006968641114982578,0.9930555555555556,0
609668,435,1812,10.5,4,0.7647058823529411,0.8574660633484162,0.9144796380090497,9,10,0.7777777777777778,0.8819171036881969,1,0.875,1,11,0.15384615384615385,0.5571095571095571,0.5571095571095571,-1,2,0,0,0,0,0.628148148148148,6.5,14,0.5,0.8333333333333334,0.9,0,0.4375,0.6390096504226938,0.875,0.6086956521739131,0.6888888888888892,0,1,0.3333333333333333,0.7142857142857143,0.43195666892349355,0.6447661469933185,0
669114,475,640,57,15,0.8125,0.9196289821289821,0.9517773892773893,51,63,0.7407407407407407,0.8536655898367083,0.9230769230769231,0.851063829787234,0.9476964769647692,16,0.5897435897435898,0.754500895125895,0.803600716100716,20,21,0.7391304347826086,0.8502657495766042,0.8717948717948718,0.85,0.9766381766381766,-10.5,29,0.12121212121212122,0.45526695526695526,0.45526695526695526,-22,0.023255813953488372,0.0563436169819011,0.1111111111111111,0.045454545454545456,0.7358024691358023,0.0044742729306487695,0.9955357142857143,0.4,0.6666666666666667,0.2744323790720632,0.7586805555555556,0
714937,506,1627,30,3,0.9090909090909091,0.8505050505050504,0.9103030303030303,30,30,0.5609756097560976,0.7187499999999999,0.71875,0.71875,0.9485714285714286,0,1,1,1,12,12,1,1,1,1,1,21,0,1,1,1,21,1,1,1,1,1,0.0014884644008930786,0.9985126425384234,0.25,0.7777777777777778,0,1,0
731602,519,334,28,0,1,1,1,28,28,1,1,1,1,1,9,0.8767123287671232,0.958904109589041,0.9753424657534246,55,64,0.8266666666666667,0.907068890770012,0.96875,0.9051094890510949,0.9939393939393939,7,13,0.5185185185185186,0.8395061728395062,0.9037037037037038,1,0.45161290322580644,0.6499336836196815,0.875,0.6222222222222222,0.9750000000000001,0,1,0,1,0,1,1
871447,613,1184,28,1,0.9655172413793104,0.9770114942528737,0.9862068965517242,28,28,0.8235294117647058,0.903225806451613,0.9032258064516129,0.9032258064516129,0.9806451612903225,0,1,1,1,14,14,1,1,1,1,1,14,0,1,1,1,14,1,1,1,1,1,0.0024894199651481204,0.9975136747886624,0.8571428571428571,0.4,0.06489675516224189,0.9371428571428572,0
942772,665,465,22.5,49,0.379746835443038,0.7804472899348576,0.8682683739609145,18,26,0.5157894736842106,0.682202514925312,0.7313432835820896,0.6805555555555556,0.9215873015873017,22,0.12,0.4630799220272905,0.4630799220272905,-3,4,0,0,0,0,0.5497942386831274,-2.5,22,0.15384615384615385,0.4775641025641026,0.4775641025641026,-6,0,0,0,0,0.5452380952380951,0.0004986287708800798,0.9995014955134596,0.6666666666666666,0.5,0.21818181818181817,0.8032786885245902,0
